6/5/2024 4:43:21 PM; Entitet_3, 234
6/5/2024 4:43:28 PM; Entitet_0, 438
6/5/2024 4:43:32 PM; Entitet_4, 306
6/5/2024 4:43:39 PM; Entitet_2, 358
6/5/2024 4:43:43 PM; Entitet_0, 378
6/5/2024 4:43:48 PM; Entitet_0, 269
6/5/2024 4:43:53 PM; Entitet_3, 190
6/5/2024 4:44:00 PM; Entitet_2, 250
6/5/2024 4:44:06 PM; Entitet_2, 276
6/5/2024 4:44:12 PM; Entitet_1, 163
6/5/2024 4:44:15 PM; Entitet_1, 399
6/5/2024 4:44:21 PM; Entitet_4, 202
6/5/2024 4:44:27 PM; Entitet_3, 303
6/5/2024 4:44:34 PM; Entitet_1, 186
6/5/2024 4:44:40 PM; Entitet_2, 435
6/5/2024 4:44:46 PM; Entitet_2, 226
6/5/2024 4:44:49 PM; Entitet_1, 420
6/5/2024 4:44:56 PM; Entitet_0, 188
6/5/2024 4:45:00 PM; Entitet_1, 256
6/5/2024 4:45:07 PM; Entitet_0, 337
6/5/2024 4:45:12 PM; Entitet_3, 309
6/5/2024 4:45:17 PM; Entitet_3, 183
6/5/2024 4:45:24 PM; Entitet_3, 186
6/5/2024 4:45:29 PM; Entitet_2, 288
6/5/2024 4:45:36 PM; Entitet_3, 299
